Model,Scenario,Fold,ROC_AUC,Accuracy,Precision,Recall,F1
LightGBM,SMOTE_Only,2,0.9308624056754171,0.8440721649484536,0.8467532467532467,0.8402061855670103,0.8434670116429496
LightGBM,SMOTE_Only,3,0.9266410484642363,0.8395618556701031,0.8356687898089172,0.845360824742268,0.840486867392697
LightGBM,SMOTE_Only,4,0.9231553565734936,0.8344072164948454,0.8247809762202754,0.8492268041237113,0.8368253968253968
LightGBM,SMOTE_Only,5,0.9394852999787437,0.8634020618556701,0.8790322580645161,0.8427835051546392,0.8605263157894737
CatBoost,SMOTE_Only,1,0.9409198410487071,0.8718609143593046,0.8559113300492611,0.8944658944658944,0.8747640025173065
CatBoost,SMOTE_Only,2,0.9336149232118185,0.8608247422680413,0.8598971722365039,0.8621134020618557,0.861003861003861
CatBoost,SMOTE_Only,3,0.9267631058029547,0.845360824742268,0.845360824742268,0.845360824742268,0.845360824742268
CatBoost,SMOTE_Only,4,0.9149883090657881,0.8324742268041238,0.8290816326530612,0.8376288659793815,0.8333333333333334
CatBoost,SMOTE_Only,5,0.9414099864491445,0.8692010309278351,0.8754914809960681,0.8608247422680413,0.8680961663417803
DecisionTree,FE_Only,1,0.816840628095535,0.7842951750236519,0.6188340807174888,0.49110320284697506,0.5476190476190477
DecisionTree,FE_Only,2,0.8043438382800749,0.7767265846736046,0.5974025974025974,0.49110320284697506,0.5390625
DecisionTree,FE_Only,3,0.7759135677466863,0.7689393939393939,0.5775862068965517,0.4785714285714286,0.5234375
DecisionTree,FE_Only,4,0.8039626288659794,0.7878787878787878,0.6217391304347826,0.5107142857142857,0.5607843137254902
DecisionTree,FE_Only,5,0.7915040500736377,0.771780303030303,0.5844155844155844,0.48214285714285715,0.5283757338551859
GBM,FE_Only,1,0.8434736948306857,0.8051087984862819,0.676056338028169,0.5124555160142349,0.582995951417004
GBM,FE_Only,2,0.8437534394834354,0.7975402081362346,0.6502242152466368,0.5160142348754448,0.5753968253968254
GBM,FE_Only,3,0.8159701767304861,0.7973484848484849,0.6586538461538461,0.48928571428571427,0.5614754098360656
GBM,FE_Only,4,0.8235295471281296,0.78125,0.6060606060606061,0.5,0.547945205479452
GBM,FE_Only,5,0.8224848122238586,0.7793560606060606,0.6053811659192825,0.48214285714285715,0.536779324055666
XGBoost,FE_Only,1,0.85228794438126,0.7994323557237465,0.6619718309859155,0.501779359430605,0.5708502024291497
XGBoost,FE_Only,2,0.8491603074439593,0.8022705771050141,0.6578947368421053,0.5338078291814946,0.5893909626719057
XGBoost,FE_Only,3,0.8244845360824742,0.7916666666666666,0.6260504201680672,0.5321428571428571,0.5752895752895753
XGBoost,FE_Only,4,0.8312937223858615,0.7850378787878788,0.6177777777777778,0.49642857142857144,0.5504950495049505
XGBoost,FE_Only,5,0.8328723306332841,0.7964015151515151,0.6570048309178744,0.4857142857142857,0.5585215605749486
RandomForest,FE_Only,1,0.8305022563011337,0.8003784295175024,0.6715686274509803,0.4875444839857651,0.5649484536082474
RandomForest,FE_Only,2,0.840685420259016,0.7909176915799432,0.6388888888888888,0.49110320284697506,0.5553319919517102
RandomForest,FE_Only,3,0.8149852724594993,0.7888257575757576,0.6325581395348837,0.4857142857142857,0.5494949494949495
RandomForest,FE_Only,4,0.8240081921944036,0.7897727272727273,0.6355140186915887,0.4857142857142857,0.5506072874493927
RandomForest,FE_Only,5,0.8278787739322535,0.7831439393939394,0.625615763546798,0.45357142857142857,0.525879917184265
LogisticRegression,FE_Only,1,0.8600130241772757,0.8164616840113529,0.7081339712918661,0.5266903914590747,0.6040816326530613
LogisticRegression,FE_Only,2,0.8646242249697325,0.8192999053926207,0.6829268292682927,0.597864768683274,0.6375711574952562
LogisticRegression,FE_Only,3,0.8229427466863034,0.7926136363636364,0.6343612334801763,0.5142857142857142,0.5680473372781065
LogisticRegression,FE_Only,4,0.837681793078056,0.803030303030303,0.6682242990654206,0.5107142857142857,0.5789473684210527
